,author,title,desciption,url,source,content,pub_date,photo_url,text_combined,tokens,lemms
0,Jeremy White,"Donald Trump Bought a $90,000 Tesla With 37 Recall Notices Against It",Here's hoping Elon Musk won't have to personally fix President Trump's new EV anytime soon.,https://www.wired.com/story/donald-trump-bought-a-dollar90000-tesla-with-37-recall-notices-against-it/,Wired,"Likely referring to the significant negative coverage of Musk's efforts leading the so-called Department of Government Efficiency (DOGE), the president committed to buying a Tesla via TruthSocial on … [+2607 chars]",2025-03-12,"https://media.wired.com/photos/67d1b556d38aff896fec27be/191:100/w_1280,c_limit/trump-tesla-gear-2204588044.jpg",donald trump bought a   tesla with  recall notices against it here is hoping elon musk wo not have to personally fix president trump is new ev anytime soon,donald trump bought tesla recall notices hoping elon musk wo personally fix president trump new ev anytime soon,donald trump bought tesla recall notices hoping elon musk wo personally fix president trump new ev anytime soon
1,Brian Barrett,The United States of Elon Musk Inc.,The degree to which Donald Trump and Elon Musk’s interests are intertwined is unprecedented—and ultimately unsustainable.,https://www.wired.com/story/elon-musk-donald-trump-doge-congress-takeover/,Wired,"Where do Elon Musks business interests end and Donald Trumps political interests begin? Trick questiontheyre one and the same.
How else do you explain the jarring sight of the President of the Unite… [+2965 chars]",2025-03-13,"https://media.wired.com/photos/67d21b81e3dd1d52d70b101e/191:100/w_1280,c_limit/politics_newsletter_united_states_musk_inc.jpg",the united states of elon musk inc the degree to which donald trump and elon musk s interests are intertwined is unprecedented and ultimately unsustainable,united states elon musk inc degree donald trump elon musk interests intertwined unprecedented ultimately unsustainable,united states elon musk inc degree donald trump elon musk interests intertwined unprecedented ultimately unsustainable
2,Martin Cizmar,Comfort Colors T-Shirts Are the Only Thing I’ll Wear,I happened upon the budget brand at a chintzy souvenir shop in Maine. I've since sworn full allegiance to the cult of Comfort Colors.,https://www.wired.com/story/comfort-colors-t-shirts-are-the-best/,Wired,"I tend to buy T-shirts in bunches. Anytime I find a shirt I really like, I acquire at least a week's worth. In the era retroactively known as indie sleaze, I was outfitted exclusively in American App… [+2366 chars]",2025-03-08,"https://media.wired.com/photos/67ca2747f792a8fe36e66a96/191:100/w_1280,c_limit/Comfort-Colors-T-Shirts-Reviewer-Collage-032025-SOURCE-Martin-Cizmar.jpg",comfort colors t shirts are the only thing i ll wear i happened upon the budget brand at a chintzy souvenir shop in maine i have since sworn full allegiance to the cult of comfort colors,comfort colors shirts thing wear happened upon budget brand chintzy souvenir shop maine since sworn full allegiance cult comfort colors,comfort colors shirts thing wear happened upon budget brand chintzy souvenir shop maine since sworn full allegiance cult comfort colors
3,Aarian Marshall,Tesla Got a Permit to Operate a Taxi Service in California—but There's a Catch,"The taxi service will initially operate with Tesla employee drivers only, use current-model vehicles, and won't allow for driverless rides.",https://www.wired.com/story/tesla-got-a-permit-to-operate-a-taxi-service-in-california-but-theres-a-catch/,Wired,"Tesla has been granted a permit to operate a taxi service in California, a spokesperson for the California Public Utilities Commission, a state regulator, said Tuesday. It marks the first step toward… [+3418 chars]",2025-03-18,"https://media.wired.com/photos/67d9e302de323b7691481579/191:100/w_1280,c_limit/Gear_Cybercab_GettyImages-2193378832.jpg",tesla got a permit to operate a taxi service in california but there is a catch the taxi service will initially operate with tesla employee drivers only use current model vehicles and wo not allow for driverless rides,tesla got permit operate taxi service california catch taxi service initially operate tesla employee drivers use current model vehicles wo allow driverless rides,tesla got permit operate taxi service california catch taxi service initially operate tesla employee drivers use current model vehicles wo allow driverless rides
4,Aarian Marshall,Ford Is Sticking With an EV Future,CEO Jim Farley tells us that every qualified owner of a Ford electric car has received an adaptor that allows them to charge up at Tesla-operated Supercharger stations.,https://www.wired.com/story/ford-ev-charging-adapters-for-tesla-superchargers/,Wired,"The road to progress has never been smooth. Witness, as a metaphor, the trials and tribulations of the Ford Motor Company as it has tried to sell electric vehicle drivers the premier charging experie… [+3080 chars]",2025-03-11,"https://media.wired.com/photos/67cef3290b79bb0f653a06c3/191:100/w_1280,c_limit/Ford%20Charging%20Adapter_Mustang%20Mach-E_2_.jpg",ford is sticking with an ev future ceo jim farley tells us that every qualified owner of a ford electric car has received an adaptor that allows them to charge up at tesla operated supercharger stations,ford sticking ev future ceo jim farley tells us every qualified owner ford electric car received adaptor allows charge tesla operated supercharger stations,ford sticking ev future ceo jim farley tells us every qualified owner ford electric car received adaptor allows charge tesla operated supercharger stations
5,Makena Kelly,DOGE Is Putting Major Government Efficiency Projects at Risk,"In its apparent quest to cut government spending and improve efficiency, DOGE has fired entire tech teams devoted to those very things.",https://www.wired.com/story/doge-major-government-tech-projects-efficiency/,Wired,"18F was the peoples tech shop, one fired 18F worker tells WIRED. Theres a giant hole left by the closure of 18F. Requests from across the country for help far outpaced 18Fs capacity before the closur… [+3048 chars]",2025-03-07,"https://media.wired.com/photos/67ca184bfec307c84aad3ce6/191:100/w_1280,c_limit/pol_doge_tech_GettyImages-2201505740.jpg",doge is putting major government efficiency projects at risk in its apparent quest to cut government spending and improve efficiency doge has fired entire tech teams devoted to those very things,doge putting major government efficiency projects risk apparent quest cut government spending improve efficiency doge fired entire tech teams devoted things,doge putting major government efficiency projects risk apparent quest cut government spending improve efficiency doge fired entire tech teams devoted things
6,Will Knight,"Under Trump, AI Scientists Are Told to Remove ‘Ideological Bias’ From Powerful Models",A directive from the National Institute of Standards and Technology eliminates mention of “AI safety” and “AI fairness.”,https://www.wired.com/story/ai-safety-institute-new-directive-america-first/,Wired,The National Institute of Standards and Technology (NIST) has issued new instructions to scientists that partner with the US Artificial Intelligence Safety Institute (AISI) that eliminate mention of … [+3395 chars],2025-03-14,"https://media.wired.com/photos/67c77508ad19f713de02a563/191:100/w_1280,c_limit/trump-pointing-2202608030.jpg",under trump ai scientists are told to remove ideological bias from powerful models a directive from the national institute of standards and technology eliminates mention of ai safety and ai fairness,trump ai scientists told remove ideological bias powerful models directive national institute standards technology eliminates mention ai safety ai fairness,trump ai scientists told remove ideological bias powerful models directive national institute standards technology eliminates mention ai safety ai fairness
7,Andrew J. Hawkins,Is Tesla cooked?,"Tesla stock plunged 15 percent on Monday, its steepest drop in five years. The price is down over 50 percent since its December highs. Tesla owners, disgusted with Elon Muskâs slash-and-burn tactics for the Trump administration, are selling their vehicles a…",https://www.theverge.com/tesla/627894/tesla-stock-sales-protest-musk-trump-doge,The Verge,"The CEO is absent, the stocks are plummeting, and the brand is toxic. Teslas future looks grim. 
The CEO is absent, the stocks are plummeting, and the brand is toxic. Teslas future looks grim. 
Tes… [+10200 chars]",2025-03-11,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/STK022_ELON_MUSK_4_CVIRGINIA_B.webp?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,is tesla cooked tesla stock plunged  percent on monday its steepest drop in five years the price is down over  percent since its december highs tesla owners disgusted with elon musk s slash and burn tactics for the trump administration are selling their vehicles a,tesla cooked tesla stock plunged percent monday steepest drop five years price percent since december highs tesla owners disgusted elon musk slash burn tactics trump administration selling vehicles,tesla cooked tesla stock plunged percent monday steepest drop five years price percent since december highs tesla owners disgusted elon musk slash burn tactics trump administration selling vehicles
8,Andrew J. Hawkins,Tesla Takedown: all the news about the protests roiling the automaker,"Since early February, Tesla has been the target of protesters opposed to CEO Elon Musk’s unprecedented takeover of the federal government. As Musk’s Department of Government Efficiency (DOGE) eliminates humanitarian aid programs and fires tens of thousands of…",https://www.theverge.com/news/635249/tesla-takedown-protest-stock-elon-musk-future,The Verge,"Since early February, Tesla has been the target of protesters opposed to CEO Elon Musks unprecedented takeover of the federal government. As Musks Department of Government Efficiency (DOGE) eliminate… [+6935 chars]",2025-03-25,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK086_TeslaB.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,tesla takedown all the news about the protests roiling the automaker since early february tesla has been the target of protesters opposed to ceo elon musk s unprecedented takeover of the federal government as musk s department of government efficiency doge eliminates humanitarian aid programs and fires tens of thousands of,tesla takedown news protests roiling automaker since early february tesla target protesters opposed ceo elon musk unprecedented takeover federal government musk department government efficiency doge eliminates humanitarian aid programs fires tens thousands,tesla takedown news protests roiling automaker since early february tesla target protesters opposed ceo elon musk unprecedented takeover federal government musk department government efficiency doge eliminates humanitarian aid programs fires tens thousands
9,Nilay Patel,How the Tesla brand turned so toxic,"Today we’re talking about the protests against Tesla, which have been branded on social media under the hashtag Tesla Takedown. The protests are, of course, a reaction to Elon Musk, who has managed to install himself as basically a not-so-shadow president who…",https://www.theverge.com/decoder-podcast-with-nilay-patel/633200/tesla-takedown-protest-elon-musk-toxic,The Verge,"How the Tesla brand turned so toxic
The Tesla Takedown movement is rallying against Elon Musk, and its only getting bigger.
How the Tesla brand turned so toxic
The Tesla Takedown movement is rally… [+3899 chars]",2025-03-20,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/DCD_0320.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,how the tesla brand turned so toxic today we re talking about the protests against tesla which have been branded on social media under the hashtag tesla takedown the protests are of course a reaction to elon musk who has managed to install himself as basically a not so shadow president who,tesla brand turned toxic today talking protests tesla branded social media hashtag tesla takedown protests course reaction elon musk managed install basically shadow president,tesla brand turned toxic today talking protests tesla branded social media hashtag tesla takedown protests course reaction elon musk managed install basically shadow president
